"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,85983.232000,NaN,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,87293.952000,NaN,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,93805.346816,NaN,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,102498.304000,NaN,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,102498.304000,NaN,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,5986,69006.528620,176.022729,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,65536.000000,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,68419.584000,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,70909.952000,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,72699.084800,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,79167.488000,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,134759.055360,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,137101.312000,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,137101.312000,NaN,"us/op",,100000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,5864,70977.119694,266.988760,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,67239.936000,NaN,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,70254.592000,NaN,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,72876.032000,NaN,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,74448.896000,NaN,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,81834.803200,NaN,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,140806.717440,NaN,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,142082.048000,NaN,"us/op",,100000,true,64,true,
